County,Total_Population_County,Total_Population_Medicaid,Male_Total_Medicaid,Male_Under_19_Medicaid,Male_Under_19_With_Medicaid,Male_Under_19_No_Medicaid,Male_19_to_64_Medicaid,Male_19_to_64_With_Medicaid,Male_19_to_64_No_Medicaid,Male_65_and_Over_Medicaid,Male_65_and_Over_With_Medicaid,Male_65_and_Over_No_Medicaid,Female_Total_Medicaid,Female_Under_19_Medicaid,Female_Under_19_With_Medicaid,Female_Under_19_No_Medicaid,Female_19_to_64_Medicaid,Female_19_to_64_With_Medicaid,Female_19_to_64_No_Medicaid,Female_65_and_Over_Medicaid,Female_65_and_Over_With_Medicaid,Female_65_and_Over_No_Medicaid,state,county,Year
"Saline County, Arkansas",119323,118076,59153,16139,5455,10684,33376,3258,30118,9638,953,8685,58923,13300,4386,8914,35439,4459,30980,10184,1164,9020,05,125,2017
"Sebastian County, Arkansas",128107,126935,61247,15873,8914,6959,37566,5706,31860,7808,1177,6631,65688,17127,9732,7395,37786,6036,31750,10775,1673,9102,05,131,2017
"Washington County, Arkansas",231996,229871,115431,32542,12874,19668,71576,6835,64741,11313,1197,10116,114440,29572,12047,17525,70783,10417,60366,14085,2642,11443,05,143,2017
"White County, Arkansas",79016,78478,38171,9628,5828,3800,23079,4579,18500,5464,844,4620,40307,9420,5357,4063,24136,6043,18093,6751,1361,5390,05,145,2017
"Alameda County, California",1663190,1654543,813613,186733,58614,128119,530495,80203,450292,96385,14965,81420,840930,178016,56589,121427,539523,102039,437484,123391,24539,98852,06,001,2017
"Butte County, California",229294,226204,111137,26370,14393,11977,66580,20745,45835,18187,2585,15602,115067,23982,12482,11500,68916,23285,45631,22169,3361,18808,06,007,2017
"Contra Costa County, California",1147439,1141780,557053,139817,40332,99485,340829,50464,290365,76407,8103,68304,584727,135401,40255,95146,352606,59836,292770,96720,13130,83590,06,013,2017
"El Dorado County, California",188987,187615,93458,20792,5121,15671,54258,8730,45528,18408,1563,16845,94157,19940,5708,14232,54341,10992,43349,19876,1912,17964,06,017,2017
"Fresno County, California",989255,978243,484774,148701,85443,63258,283994,83549,200445,52079,11903,40176,493469,144754,83916,60838,285045,107453,177592,63670,18413,45257,06,019,2017
"Humboldt County, California",136754,135847,67012,14129,8010,6119,42301,10340,31961,10582,1001,9581,68835,15045,8461,6584,41577,11013,30564,12213,2367,9846,06,023,2017
"Imperial County, California",182830,173359,83848,28501,14638,13863,45478,15746,29732,9869,4514,5355,89511,26658,13758,12900,49343,20217,29126,13510,6188,7322,06,025,2017
"Kern County, California",893119,865603,431173,137501,80036,57465,250499,73317,177182,43173,11791,31382,434430,136403,79640,56763,247915,95785,152130,50112,13059,37053,06,029,2017
"Kings County, California",150101,135965,69257,22736,8180,14556,39762,7455,32307,6759,2134,4625,66708,21230,9210,12020,37598,8868,28730,7880,2428,5452,06,031,2017
"Lake County, California",64246,63594,31790,7392,4533,2859,17462,4646,12816,6936,1506,5430,31804,6210,4315,1895,18501,7801,10700,7093,1205,5888,06,033,2017
"Los Angeles County, California",10163507,10096702,4968084,1202894,575617,627277,3193582,645536,2548046,571608,142082,429526,5128618,1154525,542643,611882,3227743,824916,2402827,746350,233926,512424,06,037,2017
"Madera County, California",156890,149228,73093,23516,16580,6936,39631,12354,27277,9946,1645,8301,76135,21608,14023,7585,43658,16843,26815,10869,2227,8642,06,039,2017
"Marin County, California",260955,256005,123640,27729,8135,19594,70667,7620,63047,25244,1567,23677,132365,27980,6014,21966,73700,9415,64285,30685,3008,27677,06,041,2017
"Mendocino County, California",88018,87268,43160,10182,6701,3481,24107,6428,17679,8871,953,7918,44108,9403,6389,3014,24716,8467,16249,9989,1550,8439,06,045,2017
"Merced County, California",272673,270238,136380,44075,30348,13727,78494,24597,53897,13811,3680,10131,133858,41850,29672,12178,76203,31656,44547,15805,5422,10383,06,047,2017
"Monterey County, California",437907,421669,209208,61553,34953,26600,121938,20757,101181,25717,3422,22295,212461,59172,33393,25779,122130,25960,96170,31159,5867,25292,06,053,2017
"Napa County, California",140973,139286,68853,16183,4771,11412,41253,4719,36534,11417,1355,10062,70433,15405,3651,11754,41467,5208,36259,13561,1604,11957,06,055,2017
"Nevada County, California",99814,98837,49209,9912,2732,7180,26677,5509,21168,12620,927,11693,49628,8808,3187,5621,27401,4470,22931,13419,797,12622,06,057,2017
"Orange County, California",3190400,3175155,1565376,382493,149471,233022,982474,150612,831862,200409,29612,170797,1609779,365004,141553,223451,994096,184909,809187,250679,47121,203558,06,059,2017
"Placer County, California",386166,383639,186475,46194,9486,36708,107813,15025,92788,32468,3208,29260,197164,43685,9650,34035,112826,14950,97876,40653,4328,36325,06,061,2017
"Riverside County, California",2423266,2400720,1187518,328154,142808,185346,705147,160336,544811,154217,24734,129483,1213202,317430,147076,170354,712364,202599,509765,183408,39483,143925,06,065,2017
"Sacramento County, California",1530615,1517379,737910,194370,86524,107846,454124,101200,352924,89416,16798,72618,779469,186723,81237,105486,475992,125401,350591,116754,25147,91607,06,067,2017
"San Bernardino County, California",2157404,2103552,1026745,304559,161223,143336,617850,146194,471656,104336,18344,85992,1076807,295262,156724,138538,649340,201751,447589,132205,31841,100364,06,071,2017
"San Diego County, California",3337685,3239196,1598687,388911,140145,248766,1011271,143894,867377,198505,33458,165047,1640509,377291,128813,248478,1015215,185725,829490,248003,48313,199690,06,073,2017
"San Francisco County, California",884363,880097,447817,63331,20357,42974,324305,44612,279693,60181,17738,42443,432280,62814,17831,44983,295982,44904,251078,73484,24004,49480,06,075,2017
"San Joaquin County, California",745424,735416,362171,109965,52341,57624,213285,57709,155576,38921,7801,31120,373245,103412,49670,53742,218198,68904,149294,51635,13022,38613,06,077,2017
"San Luis Obispo County, California",283405,276654,137303,28646,11380,17266,83663,12962,70701,24994,1145,23849,139351,27930,9410,18520,82079,14760,67319,29342,1870,27472,06,079,2017
"San Mateo County, California",771410,767094,377785,86007,19282,66725,239310,26442,212868,52468,6426,46042,389309,81489,16443,65046,240050,26118,213932,67770,12580,55190,06,081,2017
"Santa Barbara County, California",448150,441604,218801,55283,28750,26533,134285,20849,113436,29233,4302,24931,222803,54518,26648,27870,132319,26168,106151,35966,5944,30022,06,083,2017
"Santa Clara County, California",1938153,1928741,973860,230767,53584,177183,630977,71981,558996,112116,21872,90244,954881,221178,55098,166080,594790,87235,507555,138913,32099,106814,06,085,2017
"Santa Cruz County, California",275897,274486,136470,29672,11146,18526,87487,16773,70714,19311,2469,16842,138016,29130,9867,19263,85741,14685,71056,23145,2504,20641,06,087,2017
"Shasta County, California",179921,178508,87831,21290,9579,11711,50205,14367,35838,16336,2351,13985,90677,19278,9061,10217,51760,14754,37006,19639,3544,16095,06,089,2017
"Solano County, California",445458,432898,210670,52833,20610,32223,128652,20310,108342,29185,3098,26087,222228,50629,18519,32110,135104,29533,105571,36495,6167,30328,06,095,2017
"Sonoma County, California",504217,500585,243281,54401,21138,33263,147451,20527,126924,41429,4772,36657,257304,52364,20424,31940,152970,28765,124205,51970,6571,45399,06,097,2017
"Stanislaus County, California",547899,544767,270327,80653,44107,36546,159170,42320,116850,30504,4259,26245,274440,74559,38342,36217,160932,52774,108158,38949,9677,29272,06,099,2017
"Sutter County, California",96648,95104,48177,14874,8386,6488,27074,7512,19562,6229,760,5469,46927,11631,6732,4899,27341,9303,18038,7955,1702,6253,06,101,2017
"Tulare County, California",464493,460812,230333,76348,41724,34624,131306,40698,90608,22679,4658,18021,230479,74241,38100,36141,129245,43110,86135,26993,6091,20902,06,107,2017
"Ventura County, California",854223,847390,417613,107534,40029,67505,253581,32186,221395,56498,7707,48791,429777,103346,38638,64708,256412,42347,214065,70019,12380,57639,06,111,2017
"Yolo County, California",219116,217937,105427,26660,10535,16125,67261,10135,57126,11506,2333,9173,112510,26598,10613,15985,71462,15718,55744,14450,3505,10945,06,113,2017
"Yuba County, California",77031,75194,38049,11715,5693,6022,21843,6381,15462,4491,585,3906,37145,10502,5073,5429,22630,6132,16498,4013,1086,2927,06,115,2017
"Adams County, Colorado",503167,499499,251382,71265,28638,42627,157431,22241,135190,22686,2552,20134,248117,68882,31723,37159,151510,30413,121097,27725,3595,24130,08,001,2017
"Arapahoe County, Colorado",643052,636647,314420,82035,26755,55280,197033,20167,176866,35352,3966,31386,322227,78646,24763,53883,199736,30149,169587,43845,5880,37965,08,005,2017
"Boulder County, Colorado",322514,320259,160634,34694,8001,26693,106225,11008,95217,19715,1124,18591,159625,33656,8407,25249,102545,10059,92486,23424,1760,21664,08,013,2017
"Broomfield County, Colorado",68341,68012,34036,9195,1503,7692,21294,1814,19480,3547,144,3403,33976,7434,1327,6107,21382,2369,19013,5160,691,4469,08,014,2017
"Denver County, Colorado",704621,699063,349712,74843,36145,38698,239968,33290,206678,34901,5499,29402,349351,71949,33048,38901,231623,39944,191679,45779,8446,37333,08,031,2017
"Douglas County, Colorado",335299,334181,166031,48182,6640,41542,100146,7377,92769,17703,1703,16000,168150,45153,6923,38230,102520,6997,95523,20477,842,19635,08,035,2017
"El Paso County, Colorado",699232,666181,326299,91828,30171,61657,195862,29829,166033,38609,3394,35215,339882,87301,30513,56788,205436,38260,167176,47145,6149,40996,08,041,2017
"Jefferson County, Colorado",574613,568122,282305,61925,15276,46649,179284,20653,158631,41096,3710,37386,285817,58778,15983,42795,177907,22218,155689,49132,4724,44408,08,059,2017
"Larimer County, Colorado",343976,341575,170635,38153,9739,28414,108761,12411,96350,23721,1265,22456,170940,36347,9229,27118,107061,13740,93321,27532,2296,25236,08,069,2017
"Mesa County, Colorado",151616,150635,75021,18833,9983,8850,43413,9426,33987,12775,1753,11022,75614,17404,9140,8264,42714,11874,30840,15496,1999,13497,08,077,2017
"Pueblo County, Colorado",166475,163053,79724,20441,11154,9287,46109,12835,33274,13174,1610,11564,83329,19894,11709,8185,47799,17449,30350,15636,2954,12682,08,101,2017
"Weld County, Colorado",304633,302314,151486,43491,14365,29126,91619,12423,79196,16376,2081,14295,150828,41233,15632,25601,90652,16692,73960,18943,2201,16742,08,123,2017
"Fairfield County, Connecticut",949921,941488,457945,117527,36564,80963,278809,35433,243376,61609,6306,55303,483543,111538,32443,79095,291237,49627,241610,80768,10954,69814,09,001,2017
"Hartford County, Connecticut",895388,882830,426436,102904,40728,62176,261319,40423,220896,62213,8065,54148,456394,98234,37051,61183,274748,55702,219046,83412,16244,67168,09,003,2017
"Litchfield County, Connecticut",182177,180840,89984,18087,5360,12727,55390,8914,46476,16507,2536,13971,90856,16332,4374,11958,55398,8934,46464,19126,2829,16297,09,005,2017
"Middlesex County, Connecticut",163410,161344,78214,16312,3825,12487,48470,5579,42891,13432,987,12445,83130,14971,3569,11402,50828,6972,43856,17331,2436,14895,09,007,2017
"New Haven County, Connecticut",860435,850373,409286,95535,40586,54949,254022,43655,210367,59729,8261,51468,441087,91224,34694,56530,270106,59987,210119,79757,14976,64781,09,009,2017
"New London County, Connecticut",269033,256066,125451,28187,9846,18341,76129,10421,65708,21135,2546,18589,130615,27218,7216,20002,78870,13686,65184,24527,3504,21023,09,011,2017
"Tolland County, Connecticut",151461,148986,73698,15389,3640,11749,48351,5198,43153,9958,784,9174,75288,14814,3231,11583,48625,4727,43898,11849,1662,10187,09,013,2017
"Windham County, Connecticut",116359,114595,55965,12951,5963,6988,34721,6596,28125,8293,1215,7078,58630,11658,4029,7629,37132,9536,27596,9840,2183,7657,09,015,2017
"Kent County, Delaware",176824,173630,83115,22611,9585,13026,47924,7934,39990,12580,929,11651,90515,20812,8455,12357,54033,12453,41580,15670,1857,13813,10,001,2017
"New Castle County, Delaware",559793,551182,264439,66125,17723,48402,162484,17921,144563,35830,2134,33696,286743,64291,19389,44902,176222,23344,152878,46230,5256,40974,10,003,2017
"Sussex County, Delaware",225322,222447,106907,23055,10845,12210,56636,9854,46782,27216,1838,25378,115540,21579,10762,10817,62356,11969,50387,31605,3009,28596,10,005,2017
"District of Columbia, District of Columbia",693972,683808,320935,66097,30843,35254,222199,43348,178851,32639,7747,24892,362873,67538,33105,34433,246490,54970,191520,48845,14505,34340,11,001,2017
"Alachua County, Florida",266944,264462,127108,27538,8132,19406,83867,6528,77339,15703,1913,13790,137354,29851,9001,20850,87494,9800,77694,20009,3288,16721,12,001,2017
"Bay County, Florida",183563,178683,87227,22112,8718,13394,51435,4857,46578,13680,1511,12169,91456,20554,8274,12280,54497,8144,46353,16405,2294,14111,12,005,2017
"Brevard County, Florida",589162,584465,285385,58911,20325,38586,164532,16540,147992,61942,5981,55961,299080,56551,18863,37688,170032,23011,147021,72497,7122,65375,12,009,2017
"Broward County, Florida",1935878,1923865,936659,222505,90771,131734,577834,39784,538050,136320,17627,118693,987206,210802,91015,119787,602584,57557,545027,173820,30269,143551,12,011,2017
"Charlotte County, Florida",182033,178662,86174,11553,4705,6848,40783,4132,36651,33838,1937,31901,92488,12001,5974,6027,43683,5081,38602,36804,3800,33004,12,015,2017
"Citrus County, Florida",145647,143121,69029,11083,5846,5237,32961,3752,29209,24985,1619,23366,74092,10804,6094,4710,36204,4993,31211,27084,3222,23862,12,017,2017
"Clay County, Florida",212230,210141,102597,27722,9917,17805,60171,6042,54129,14704,1187,13517,107544,26540,8643,17897,63042,8317,54725,17962,1424,16538,12,019,2017
"Collier County, Florida",372880,370710,181196,34329,16006,18323,91245,4730,86515,55622,3600,52022,189514,33892,14129,19763,94399,6813,87586,61223,5104,56119,12,021,2017
"Columbia County, Florida",69612,65127,31898,8763,3651,5112,17304,2758,14546,5831,1094,4737,33229,6974,3678,3296,19244,3980,15264,7011,752,6259,12,023,2017
"Duval County, Florida",937934,918383,440179,112633,46998,65635,273713,29612,244101,53833,7149,46684,478204,109558,48660,60898,297379,42172,255207,71267,12794,58473,12,031,2017
"Escambia County, Florida",313512,299055,143784,34546,17185,17361,87109,10269,76840,22129,1815,20314,155271,34735,16361,18374,93256,16635,76621,27280,3225,24055,12,033,2017
"Flagler County, Florida",110510,110153,53005,10152,4002,6150,27268,3232,24036,15585,3240,12345,57148,10305,2837,7468,30075,3472,26603,16768,3316,13452,12,035,2017
"Hernando County, Florida",186553,184552,87702,18311,9605,8706,45858,6379,39479,23533,1941,21592,96850,19310,7862,11448,50024,8470,41554,27516,3673,23843,12,053,2017
"Highlands County, Florida",102883,101724,47913,9183,6405,2778,22186,6331,15855,16544,2829,13715,53811,10650,7119,3531,24559,8131,16428,18602,2248,16354,12,055,2017
"Hillsborough County, Florida",1408566,1397641,680012,171976,70664,101312,421833,39707,382126,86203,10711,75492,717629,167064,67678,99386,442642,62310,380332,107923,15897,92026,12,057,2017
"Indian River County, Florida",154383,153230,72796,14360,7538,6822,35985,4577,31408,22451,1328,21123,80434,13893,6300,7593,40408,5191,35217,26133,3252,22881,12,061,2017
"Lake County, Florida",346017,342638,166098,38307,14661,23646,85873,5107,80766,41918,3698,38220,176540,32927,13204,19723,94740,10188,84552,48873,6878,41995,12,069,2017
"Lee County, Florida",739224,734548,359267,71648,34167,37481,190113,17121,172992,97506,9251,88255,375281,68161,32882,35279,199923,25951,173972,107197,11253,95944,12,071,2017
"Leon County, Florida",290292,287067,136149,30795,9085,21710,89031,4759,84272,16323,1393,14930,150918,30572,6853,23719,100168,8555,91613,20178,1479,18699,12,073,2017
"Manatee County, Florida",385571,382647,183886,37694,12483,25211,98671,10268,88403,47521,2369,45152,198761,37636,14785,22851,105526,9756,95770,55599,4555,51044,12,081,2017
"Marion County, Florida",354353,345634,166138,35182,18084,17098,84820,13071,71749,46136,3217,42919,179496,35182,18360,16822,90409,15755,74654,53905,5836,48069,12,083,2017
"Martin County, Florida",159923,157136,77153,15118,4564,10554,40080,3379,36701,21955,1000,20955,79983,13655,5404,8251,40704,4118,36586,25624,1564,24060,12,085,2017
"Miami-Dade County, Florida",2751796,2727281,1317605,299635,156572,143063,838836,82042,756794,179134,60359,118775,1409676,289953,155404,134549,867926,115116,752810,251797,106603,145194,12,086,2017
"Monroe County, Florida",77013,74777,37847,6283,2428,3855,23031,2083,20948,8533,1152,7381,36930,5677,1269,4408,23177,1611,21566,8076,704,7372,12,087,2017
"Nassau County, Florida",82721,81857,39382,8531,1616,6915,22395,1551,20844,8456,889,7567,42475,9038,1904,7134,24297,2070,22227,9140,1033,8107,12,089,2017
"Okaloosa County, Florida",202970,190929,93615,24002,7358,16644,54676,3936,50740,14937,925,14012,97314,22216,7463,14753,58489,5840,52649,16609,1818,14791,12,091,2017
"Orange County, Florida",1348975,1337792,654376,161780,63831,97949,424420,32444,391976,68176,8962,59214,683416,158052,67499,90553,438520,48748,389772,86844,16869,69975,12,095,2017
"Osceola County, Florida",352180,350815,172776,46832,23386,23446,106088,10508,95580,19856,3580,16276,178039,46598,21848,24750,106383,18277,88106,25058,5952,19106,12,097,2017
"Palm Beach County, Florida",1471150,1458328,704255,153101,58254,94847,399901,29481,370420,151253,14096,137157,754073,145535,54771,90764,418160,41004,377156,190378,19826,170552,12,099,2017
"Pasco County, Florida",525643,519557,251349,57124,23657,33467,140914,13623,127291,53311,7059,46252,268208,54793,23629,31164,149991,21113,128878,63424,9403,54021,12,101,2017
"Pinellas County, Florida",970637,958470,458733,86848,33446,53402,269210,25172,244038,102675,11530,91145,499737,82270,33981,48289,290050,35544,254506,127417,18021,109396,12,103,2017
"Polk County, Florida",686483,678510,330341,83346,39524,43822,184314,20709,163605,62681,7928,54753,348169,78203,40166,38037,196301,32286,164015,73665,12661,61004,12,105,2017
"Putnam County, Florida",73464,72472,35935,8898,5484,3414,19267,4472,14795,7770,605,7165,36537,8050,5559,2491,20040,5368,14672,8447,1044,7403,12,107,2017
"St. Johns County, Florida",243812,241359,116645,27128,6041,21087,67612,4410,63202,21905,1178,20727,124714,29336,6270,23066,70372,5238,65134,25006,2589,22417,12,109,2017
"St. Lucie County, Florida",313506,311216,151434,34521,19977,14544,82899,7619,75280,34014,3434,30580,159782,31624,14541,17083,88521,12623,75898,39637,3075,36562,12,111,2017
"Santa Rosa County, Florida",174272,166505,82016,20389,6475,13914,49077,3989,45088,12550,1431,11119,84489,19869,6011,13858,50572,5320,45252,14048,1521,12527,12,113,2017
"Sarasota County, Florida",419119,415237,197986,33782,10972,22810,95773,6090,89683,68431,4637,63794,217251,30899,10652,20247,105529,9020,96509,80823,7502,73321,12,115,2017
"Seminole County, Florida",462659,459584,221332,50526,16523,34003,140292,7838,132454,30514,2725,27789,238252,52612,16566,36046,146893,10188,136705,38747,3790,34957,12,117,2017
"Sumter County, Florida",125165,116344,54035,4671,1908,2763,15617,1795,13822,33747,2274,31473,62309,4876,1452,3424,20689,3426,17263,36744,2318,34426,12,119,2017
"Volusia County, Florida",538692,532391,259384,53187,26117,27070,147730,18979,128751,58467,5862,52605,273007,48770,23052,25718,155443,25353,130090,68794,8058,60736,12,127,2017
"Walton County, Florida",68376,66406,32548,7141,4472,2669,19181,1949,17232,6226,482,5744,33858,7187,2642,4545,19447,3800,15647,7224,883,6341,12,131,2017
"Barrow County, Georgia",79061,78930,37903,11015,4057,6958,23329,1631,21698,3559,227,3332,41027,10933,4066,6867,24666,2293,22373,5428,1010,4418,13,013,2017
"Bartow County, Georgia",105054,104046,51182,14133,6053,8080,31009,2542,28467,6040,648,5392,52864,13392,5510,7882,30995,4203,26792,8477,1312,7165,13,015,2017
"Bibb County, Georgia",152862,149319,69033,20063,10379,9684,39851,5092,34759,9119,1147,7972,80286,19299,9432,9867,47902,8387,39515,13085,3076,10009,13,021,2017
"Bulloch County, Georgia",76149,75281,36346,9565,3569,5996,23293,1277,22016,3488,175,3313,38935,10152,2648,7504,24172,1750,22422,4611,881,3730,13,031,2017
"Carroll County, Georgia",117812,116475,55307,14524,5040,9484,34664,2158,32506,6119,637,5482,61168,15416,6584,8832,37235,2603,34632,8517,1843,6674,13,045,2017
"Catoosa County, Georgia",66550,66077,31178,7710,1959,5751,18721,836,17885,4747,73,4674,34899,8595,2702,5893,20024,1642,18382,6280,1358,4922,13,047,2017
"Chatham County, Georgia",290501,283639,133483,32686,12181,20505,82864,5535,77329,17933,2744,15189,150156,33852,12436,21416,93551,8523,85028,22753,3942,18811,13,051,2017
"Cherokee County, Georgia",247573,246439,120817,32963,6738,26225,73751,3472,70279,14103,1241,12862,125622,31648,7464,24184,76302,4042,72260,17672,1369,16303,13,057,2017
"Clarke County, Georgia",127064,126285,60343,13181,5361,7820,41794,3400,38394,5368,439,4929,65942,14543,3635,10908,43721,3788,39933,7678,1687,5991,13,059,2017
"Clayton County, Georgia",285153,281558,131360,43019,26630,16389,77295,7146,70149,11046,2681,8365,150198,41317,26392,14925,94749,15131,79618,14132,2644,11488,13,063,2017
"Cobb County, Georgia",755754,750520,361694,95823,23138,72685,227203,8095,219108,38668,3789,34879,388826,95477,24573,70904,243676,13081,230595,49673,4567,45106,13,067,2017
"Columbia County, Georgia",151579,146586,70490,21512,2236,19276,40536,2084,38452,8442,505,7937,76096,20103,2184,17919,45208,2761,42447,10785,1448,9337,13,073,2017
"Coweta County, Georgia",143114,142559,69647,19045,5680,13365,41840,1909,39931,8762,538,8224,72912,18882,5729,13153,43530,3764,39766,10500,1351,9149,13,077,2017
"DeKalb County, Georgia",753253,747759,352977,92580,44538,48042,223885,20159,203726,36512,6577,29935,394782,91277,41066,50211,251173,24972,226201,52332,10773,41559,13,089,2017
"Dougherty County, Georgia",89502,87635,40447,12081,7407,4674,22862,3641,19221,5504,1278,4226,47188,11429,7489,3940,28090,7476,20614,7669,1718,5951,13,095,2017
"Douglas County, Georgia",143882,142511,67301,19914,7716,12198,40140,3341,36799,7247,1521,5726,75210,19186,6710,12476,46729,5336,41393,9295,2361,6934,13,097,2017
"Fayette County, Georgia",112549,111866,54794,14653,3163,11490,30942,1553,29389,9199,446,8753,57072,13473,2336,11137,32869,1831,31038,10730,524,10206,13,113,2017
"Floyd County, Georgia",97613,95579,44129,11103,6514,4589,26243,2795,23448,6783,653,6130,51450,13145,7037,6108,29654,3116,26538,8651,450,8201,13,115,2017
"Forsyth County, Georgia",227967,227357,112771,34277,3398,30879,66523,1012,65511,11971,988,10983,114586,32651,2904,29747,67664,1847,65817,14271,998,13273,13,117,2017
"Fulton County, Georgia",1041423,1031739,496233,124889,40705,84184,322955,19629,303326,48389,9117,39272,535506,121620,34367,87253,346833,28509,318324,67053,14158,52895,13,121,2017
"Glynn County, Georgia",85282,84117,38852,9837,3165,6672,21930,2770,19160,7085,578,6507,45265,10284,4554,5730,26012,4021,21991,8969,938,8031,13,127,2017
"Gwinnett County, Georgia",920260,914966,446181,133365,50606,82759,274342,11825,262517,38474,5142,33332,468785,129008,45730,83278,290788,19732,271056,48989,6029,42960,13,135,2017
"Hall County, Georgia",199335,198505,99601,27835,11661,16174,58957,3082,55875,12809,1889,10920,98904,25574,9460,16114,57721,3929,53792,15609,1994,13615,13,139,2017
"Henry County, Georgia",225813,224278,107972,32836,11205,21631,63847,3519,60328,11289,333,10956,116306,29646,10689,18957,73100,3938,69162,13560,1450,12110,13,151,2017
"Houston County, Georgia",153479,149791,71928,22690,9051,13639,41177,2546,38631,8061,899,7162,77863,19803,7243,12560,47740,5485,42255,10320,1810,8510,13,153,2017
"Jackson County, Georgia",67519,66765,34180,8448,2994,5454,20968,1560,19408,4764,707,4057,32585,8778,3018,5760,18599,1726,16873,5208,714,4494,13,157,2017
"Lowndes County, Georgia",115489,110690,52377,15596,5236,10360,31307,1985,29322,5474,1100,4374,58313,13909,3972,9937,36880,4293,32587,7524,2191,5333,13,185,2017
"Muscogee County, Georgia",194058,184416,85745,25628,11686,13942,50222,5203,45019,9895,1917,7978,98671,24829,11267,13562,59175,9130,50045,14667,3431,11236,13,215,2017
"Newton County, Georgia",108078,107242,52345,16745,8288,8457,29568,3499,26069,6032,959,5073,54897,13587,5720,7867,33331,3507,29824,7979,1209,6770,13,217,2017
"Paulding County, Georgia",159445,158634,77598,23809,6277,17532,46834,2992,43842,6955,434,6521,81036,20756,5543,15213,51070,2598,48472,9210,532,8678,13,223,2017
"Richmond County, Georgia",201800,192027,88528,24550,11759,12791,53215,6493,46722,10763,1202,9561,103499,24789,12729,12060,62974,8313,54661,15736,3028,12708,13,245,2017
"Rockdale County, Georgia",90312,89567,42338,13067,5114,7953,24091,1011,23080,5180,690,4490,47229,12101,3539,8562,28132,3773,24359,6996,1328,5668,13,247,2017
"Spalding County, Georgia",65380,64674,30790,8845,5580,3265,16982,2516,14466,4963,344,4619,33884,8193,4906,3287,19339,4283,15056,6352,1808,4544,13,255,2017
"Troup County, Georgia",69786,68541,33606,10361,3759,6602,18951,1510,17441,4294,828,3466,34935,8409,4045,4364,20719,3056,17663,5807,1709,4098,13,285,2017
"Walker County, Georgia",68939,67432,31852,8147,3898,4249,18260,1729,16531,5445,900,4545,35580,8171,3168,5003,20222,3039,17183,7187,646,6541,13,295,2017
"Walton County, Georgia",91600,90776,44430,12679,4335,8344,25510,2193,23317,6241,503,5738,46346,11014,4645,6369,27646,4045,23601,7686,447,7239,13,297,2017
"Whitfield County, Georgia",104658,103790,50785,13717,7779,5938,31274,1416,29858,5794,813,4981,53005,15011,8469,6542,30220,2210,28010,7774,733,7041,13,313,2017
"Hawaii County, Hawaii",200381,198611,98150,24140,12904,11236,54791,11364,43427,19219,2078,17141,100461,22284,12300,9984,57609,15595,42014,20568,1972,18596,15,001,2017
"Honolulu County, Hawaii",988650,938337,456542,113403,33165,80238,268982,29101,239881,74157,6718,67439,481795,106538,28121,78417,282192,38259,243933,93065,10608,82457,15,003,2017
"Kauai County, Hawaii",72159,71417,34740,8557,3745,4812,19759,2668,17091,6424,491,5933,36677,8629,3748,4881,20598,3307,17291,7450,270,7180,15,007,2017
"Maui County, Hawaii",166271,164762,81979,19169,5811,13358,49604,7258,42346,13206,1244,11962,82783,18222,6563,11659,49223,5704,43519,15338,2324,13014,15,009,2017
"Ada County, Idaho",456849,448422,223733,62561,15498,47063,132767,6829,125938,28405,2738,25667,224689,55363,11931,43432,135768,11947,123821,33558,4419,29139,16,001,2017
"Bannock County, Idaho",85269,84172,41325,11881,4336,7545,23944,3107,20837,5500,627,4873,42847,12595,4875,7720,24222,4262,19960,6030,665,5365,16,005,2017
