County,Total_Population_County,Total_Population_Medicaid,Male_Total_Medicaid,Male_Under_19_Medicaid,Male_Under_19_With_Medicaid,Male_Under_19_No_Medicaid,Male_19_to_64_Medicaid,Male_19_to_64_With_Medicaid,Male_19_to_64_No_Medicaid,Male_65_and_Over_Medicaid,Male_65_and_Over_With_Medicaid,Male_65_and_Over_No_Medicaid,Female_Total_Medicaid,Female_Under_19_Medicaid,Female_Under_19_With_Medicaid,Female_Under_19_No_Medicaid,Female_19_to_64_Medicaid,Female_19_to_64_With_Medicaid,Female_19_to_64_No_Medicaid,Female_65_and_Over_Medicaid,Female_65_and_Over_With_Medicaid,Female_65_and_Over_No_Medicaid,state,county,Year
"Elkhart County, Indiana",206409,204930,103374,31307,11434,19873,57464,7311,50153,14603,1151,13452,101556,27440,11706,15734,57850,9200,48650,16266,1775,14491,18,039,2023
"Floyd County, Indiana",80809,79509,37795,9126,1911,7215,22549,2057,20492,6120,813,5307,41714,9882,2416,7466,23467,3754,19713,8365,1151,7214,18,043,2023
"Grant County, Indiana",66200,65458,31721,7325,4686,2639,18525,4226,14299,5871,1033,4838,33737,7657,4315,3342,19279,5945,13334,6801,994,5807,18,053,2023
"Hamilton County, Indiana",371645,368741,182055,51215,8187,43028,107551,7464,100087,23289,1248,22041,186686,46724,7705,39019,111442,10897,100545,28520,2711,25809,18,057,2023
"Hancock County, Indiana",86166,85374,42707,10168,2000,8168,25703,3214,22489,6836,415,6421,42667,9829,2234,7595,24906,3074,21832,7932,442,7490,18,059,2023
"Hendricks County, Indiana",186387,180769,89204,24820,3969,20851,51816,3187,48629,12568,650,11918,91565,22248,4142,18106,53986,5184,48802,15331,889,14442,18,063,2023
"Howard County, Indiana",83831,82684,40113,10959,5654,5305,22082,3949,18133,7072,514,6558,42571,9050,4154,4896,24056,6132,17924,9465,1475,7990,18,067,2023
"Johnson County, Indiana",167819,165156,82567,23269,6840,16429,47793,5105,42688,11505,1189,10316,82589,19235,5950,13285,49556,7556,42000,13798,722,13076,18,081,2023
"Kosciusko County, Indiana",80364,79714,39777,9593,4383,5210,23347,1632,21715,6837,336,6501,39937,10092,3043,7049,22538,2605,19933,7307,572,6735,18,085,2023
"Lake County, Indiana",500598,496189,240476,61467,27277,34190,139202,20959,118243,39807,4340,35467,255713,58770,25777,32993,147001,34113,112888,49942,5830,44112,18,089,2023
"LaPorte County, Indiana",111706,105026,51172,13062,4686,8376,28736,5110,23626,9374,616,8758,53854,11616,4757,6859,30550,6957,23593,11688,1220,10468,18,091,2023
"Madison County, Indiana",132504,128916,63546,15404,6623,8781,37146,8223,28923,10996,1276,9720,65370,14203,7163,7040,37399,10766,26633,13768,2151,11617,18,095,2023
"Marion County, Indiana",968460,958898,463150,128445,61546,66899,279385,46549,232836,55320,7494,47826,495748,123931,63549,60382,298995,67919,231076,72822,14288,58534,18,097,2023
"Monroe County, Indiana",139342,138249,69005,14492,4415,10077,45357,5576,39781,9156,672,8484,69244,13444,4277,9167,44299,6105,38194,11501,656,10845,18,105,2023
"Morgan County, Indiana",73227,72546,36388,8543,2176,6367,21518,2841,18677,6327,553,5774,36158,8168,3277,4891,21187,4114,17073,6803,702,6101,18,109,2023
"Porter County, Indiana",175335,173742,86270,20144,6421,13723,50910,7153,43757,15216,1072,14144,87472,19058,6257,12801,51238,9440,41798,17176,1623,15553,18,127,2023
"St. Joseph County, Indiana",272848,269509,132794,36357,15758,20599,76266,10918,65348,20171,1896,18275,136715,31909,12801,19108,79371,17015,62356,25435,3781,21654,18,141,2023
"Tippecanoe County, Indiana",188792,186930,96242,24466,6211,18255,61967,4861,57106,9809,727,9082,90688,20269,5768,14501,57664,8071,49593,12755,941,11814,18,157,2023
"Vanderburgh County, Indiana",179810,177254,87795,22262,8574,13688,50966,7897,43069,14567,1322,13245,89459,19277,7746,11531,52396,11747,40649,17786,2167,15619,18,163,2023
"Vigo County, Indiana",106153,102290,50037,11928,5385,6543,30453,5992,24461,7656,1329,6327,52253,10945,4762,6183,30831,9327,21504,10477,1778,8699,18,167,2023
"Warrick County, Indiana",65867,64934,32618,8125,2235,5890,18878,2985,15893,5615,170,5445,32316,7263,2217,5046,18705,3268,15437,6348,262,6086,18,173,2023
"Wayne County, Indiana",66127,64971,31759,7301,2236,5065,18819,3695,15124,5639,1342,4297,33212,7406,3193,4213,18906,4938,13968,6900,1309,5591,18,177,2023
"Black Hawk County, Iowa",130471,128580,63578,15157,7095,8062,38007,6505,31502,10414,1412,9002,65002,15207,6131,9076,38000,9330,28670,11795,1782,10013,19,013,2023
"Dallas County, Iowa",111092,110404,54415,15367,2834,12533,32482,2315,30167,6566,290,6276,55989,14668,2524,12144,33745,4233,29512,7576,1159,6417,19,049,2023
"Dubuque County, Iowa",98887,97602,48270,11462,2940,8522,28013,3532,24481,8795,443,8352,49332,11757,3342,8415,27382,4687,22695,10193,1284,8909,19,061,2023
"Johnson County, Iowa",157528,155998,75749,16282,4221,12061,49848,4322,45526,9619,941,8678,80249,17719,4514,13205,51375,4912,46463,11155,694,10461,19,103,2023
"Linn County, Iowa",228972,226572,112137,27459,9937,17522,66797,11369,55428,17881,1752,16129,114435,26341,10854,15487,66731,13646,53085,21363,2066,19297,19,113,2023
"Polk County, Iowa",505255,500186,249472,65229,27469,37760,153402,21015,132387,30841,2670,28171,250714,61747,24846,36901,150407,28320,122087,38560,3682,34878,19,153,2023
"Pottawattamie County, Iowa",93179,90819,44312,10552,4808,5744,26135,3530,22605,7625,1038,6587,46507,11794,6010,5784,26021,5632,20389,8692,1126,7566,19,155,2023
"Scott County, Iowa",174270,172884,85520,21410,6629,14781,50509,5765,44744,13601,1048,12553,87364,20642,5722,14920,50532,10665,39867,16190,1249,14941,19,163,2023
"Story County, Iowa",98566,97991,51456,10156,2968,7188,35098,3021,32077,6202,372,5830,46535,9067,2909,6158,30680,3299,27381,6788,332,6456,19,169,2023
"Woodbury County, Iowa",105951,104891,53474,14607,7669,6938,31054,5797,25257,7813,1104,6709,51417,13610,7191,6419,29212,8451,20761,8595,2040,6555,19,193,2023
"Butler County, Kansas",68632,65639,32237,9086,2118,6968,17945,1420,16525,5206,512,4694,33402,8647,2403,6244,18790,1867,16923,5965,754,5211,20,015,2023
"Douglas County, Kansas",120553,119799,59916,12623,3738,8885,39923,2893,37030,7370,327,7043,59883,11973,2136,9837,38859,3416,35443,9051,759,8292,20,045,2023
"Johnson County, Kansas",622237,617581,305460,77645,11647,65998,182339,6855,175484,45476,2862,42614,312121,73759,9163,64596,183459,7535,175924,54903,4388,50515,20,091,2023
"Leavenworth County, Kansas",83518,77670,38687,11106,2168,8938,20956,2033,18923,6625,701,5924,38983,9183,2303,6880,22604,3065,19539,7196,1195,6001,20,103,2023
"Riley County, Kansas",71402,63275,31745,7502,1160,6342,20498,1125,19373,3745,1081,2664,31530,6108,795,5313,21110,515,20595,4312,1019,3293,20,161,2023
"Sedgwick County, Kansas",528469,519820,257259,70965,27051,43914,148073,10157,137916,38221,2866,35355,262561,66015,25036,40979,150530,20690,129840,46016,4140,41876,20,173,2023
"Shawnee County, Kansas",177746,174453,86155,22282,8817,13465,48014,5470,42544,15859,696,15163,88298,20141,6924,13217,49837,7389,42448,18320,1303,17017,20,177,2023
"Wyandotte County, Kansas",165281,163787,81493,23334,10898,12436,46918,5165,41753,11241,1448,9793,82294,22447,14036,8411,47665,7793,39872,12182,1246,10936,20,209,2023
"Boone County, Kentucky",140496,139077,68588,19048,3559,15489,40362,3463,36899,9178,605,8573,70489,17421,3891,13530,41523,5546,35977,11545,1197,10348,21,015,2023
"Bullitt County, Kentucky",84863,84341,42156,10059,2728,7331,25093,4891,20202,7004,800,6204,42185,8794,2590,6204,25499,4321,21178,7892,676,7216,21,029,2023
"Campbell County, Kentucky",93702,92890,46093,10168,2770,7398,28572,2659,25913,7353,537,6816,46797,9506,2497,7009,28098,4120,23978,9193,810,8383,21,037,2023
"Christian County, Kentucky",72032,63018,29566,11278,4321,6957,14153,2311,11842,4135,1003,3132,33452,10339,3780,6559,17908,4496,13412,5205,938,4267,21,047,2023
"Daviess County, Kentucky",103458,102179,49604,13031,7859,5172,28448,6688,21760,8125,866,7259,52575,12944,7430,5514,29512,10745,18767,10119,1021,9098,21,059,2023
"Fayette County, Kentucky",320154,314976,154312,35939,13908,22031,97539,12557,84982,20834,2215,18619,160664,35384,14883,20501,99000,19851,79149,26280,2958,23322,21,067,2023
"Hardin County, Kentucky",112273,108559,52963,14225,5304,8921,31010,5371,25639,7728,1093,6635,55596,13729,6211,7518,32214,8258,23956,9653,1420,8233,21,093,2023
"Jefferson County, Kentucky",772144,763992,370714,91819,42568,49251,219817,40011,179806,59078,6875,52203,393278,87520,42020,45500,231197,59333,171864,74561,10672,63889,21,111,2023
"Kenton County, Kentucky",171321,170496,83974,20432,6532,13900,50924,7862,43062,12618,1528,11090,86522,20891,8326,12565,50902,10628,40274,14729,1544,13185,21,117,2023
"McCracken County, Kentucky",67428,66488,31906,7716,4189,3527,17884,3810,14074,6306,832,5474,34582,8007,2770,5237,18780,5661,13119,7795,1078,6717,21,145,2023
"Madison County, Kentucky",96735,95809,46673,11430,5293,6137,28825,4748,24077,6418,385,6033,49136,10633,4227,6406,30870,7069,23801,7633,906,6727,21,151,2023
"Oldham County, Kentucky",70183,66257,33730,9418,1716,7702,19511,1414,18097,4801,700,4101,32527,8698,1216,7482,18570,2243,16327,5259,632,4627,21,185,2023
"Pulaski County, Kentucky",66191,65123,32272,8276,5126,3150,18038,5766,12272,5958,520,5438,32851,7083,4302,2781,18960,7407,11553,6808,1114,5694,21,199,2023
"Warren County, Kentucky",142229,140925,68220,17989,7259,10730,41375,7392,33983,8856,1011,7845,72705,17605,8997,8608,44564,9201,35363,10536,2034,8502,21,227,2023
"Ascension Parish, Louisiana",131632,130595,64186,18731,6282,12449,37304,4713,32591,8151,1441,6710,66409,18041,5865,12176,39059,7114,31945,9309,1001,8308,22,005,2023
"Bossier Parish, Louisiana",129795,124698,60574,16858,7082,9776,35101,5016,30085,8615,918,7697,64124,15387,6895,8492,37527,10194,27333,11210,1737,9473,22,015,2023
"Caddo Parish, Louisiana",226386,221028,103272,28533,17116,11417,57019,16000,41019,17720,3031,14689,117756,26676,17532,9144,67156,25282,41874,23924,5880,18044,22,017,2023
"Calcasieu Parish, Louisiana",203761,201993,99294,27235,15260,11975,56729,11228,45501,15330,2135,13195,102699,25335,13654,11681,58618,16914,41704,18746,2764,15982,22,019,2023
"East Baton Rouge Parish, Louisiana",448467,444385,211459,55925,27494,28431,125196,23799,101397,30338,4396,25942,232926,55557,30037,25520,137771,36222,101549,39598,6371,33227,22,033,2023
"Iberia Parish, Louisiana",67659,66896,32730,9811,7334,2477,17552,4373,13179,5367,1327,4040,34166,8621,5920,2701,19143,8255,10888,6402,1569,4833,22,045,2023
"Jefferson Parish, Louisiana",421777,417815,202859,50588,26873,23715,116110,21807,94303,36161,6689,29472,214956,47956,27470,20486,122335,36358,85977,44665,8541,36124,22,051,2023
"Lafayette Parish, Louisiana",249750,247935,120117,32069,16005,16064,71068,13970,57098,16980,2733,14247,127818,30798,14674,16124,76765,20696,56069,20255,2546,17709,22,055,2023
"Lafourche Parish, Louisiana",95056,93927,46349,12352,7407,4945,26344,6140,20204,7653,825,6828,47578,10897,7070,3827,28210,10098,18112,8471,1700,6771,22,057,2023
"Livingston Parish, Louisiana",150145,148934,72960,20878,10313,10565,42477,8746,33731,9605,463,9142,75974,19728,10547,9181,45120,12652,32468,11126,720,10406,22,063,2023
"Orleans Parish, Louisiana",364136,359552,167342,37345,20996,16349,102061,23877,78184,27936,6804,21132,192210,37838,17936,19902,117776,30930,86846,36596,10628,25968,22,071,2023
"Ouachita Parish, Louisiana",157568,154863,72650,19081,10970,8111,42726,11231,31495,10843,1619,9224,82213,20447,11228,9219,47322,14759,32563,14444,2791,11653,22,073,2023
"Rapides Parish, Louisiana",126260,123759,60221,17132,9465,7667,33745,8799,24946,9344,1476,7868,63538,15483,9544,5939,35599,12651,22948,12456,2464,9992,22,079,2023
"St. Landry Parish, Louisiana",81464,80405,38407,11403,6062,5341,20896,5704,15192,6108,1079,5029,41998,11571,6417,5154,22866,7289,15577,7561,1974,5587,22,097,2023
"St. Tammany Parish, Louisiana",275583,270665,131443,36080,14011,22069,72020,12688,59332,23343,2608,20735,139222,32162,11115,21047,78968,17831,61137,28092,3430,24662,22,103,2023
"Tangipahoa Parish, Louisiana",138064,136824,65730,17720,11190,6530,38696,8837,29859,9314,1040,8274,71094,18395,11678,6717,40618,15621,24997,12081,1210,10871,22,105,2023
"Terrebonne Parish, Louisiana",103616,102266,51894,14958,7547,7411,29380,5641,23739,7556,554,7002,50372,11246,5363,5883,30169,9429,20740,8957,1570,7387,22,109,2023
"Androscoggin County, Maine",113765,112023,55269,13134,5538,7596,32803,6703,26100,9332,1578,7754,56754,11771,5289,6482,34056,9112,24944,10927,2387,8540,23,001,2023
"Aroostook County, Maine",67351,66235,33285,7006,2784,4222,18587,4510,14077,7692,1625,6067,32950,6119,2862,3257,18193,5155,13038,8638,1953,6685,23,003,2023
"Cumberland County, Maine",310230,306351,148176,30430,6659,23771,90268,9776,80492,27478,2700,24778,158175,28863,7248,21615,94545,10537,84008,34767,4475,30292,23,005,2023
"Kennebec County, Maine",127259,125698,61406,12998,5206,7792,36220,7299,28921,12188,1556,10632,64292,12077,5399,6678,37772,7811,29961,14443,3182,11261,23,011,2023
"Penobscot County, Maine",155312,153524,75977,14958,4767,10191,46736,11026,35710,14283,3303,10980,77547,14301,5401,8900,46608,12955,33653,16638,3704,12934,23,019,2023
"York County, Maine",218586,217216,106962,20407,6214,14193,63171,8481,54690,23384,2076,21308,110254,18203,5458,12745,65562,9594,55968,26489,3387,23102,23,031,2023
"Allegany County, Maryland",67273,62866,30860,6692,4393,2299,17973,4833,13140,6195,497,5698,32006,5940,3030,2910,18452,6246,12206,7614,1178,6436,24,001,2023
"Anne Arundel County, Maryland",594582,575585,278425,69799,15414,54385,165435,17362,148073,43191,3267,39924,297160,69238,17882,51356,175123,20263,154860,52799,5309,47490,24,003,2023
"Baltimore County, Maryland",844703,838761,399037,98592,32845,65747,233937,34697,199240,66508,6350,60158,439724,95205,34507,60698,257060,49236,207824,87459,10280,77179,24,005,2023
"Calvert County, Maryland",94728,93428,45129,11266,2019,9247,26896,1225,25671,6967,778,6189,48299,12275,2558,9717,27400,3213,24187,8624,1412,7212,24,009,2023
"Carroll County, Maryland",176639,173649,85893,20809,2888,17921,50552,4643,45909,14532,659,13873,87756,20139,4057,16082,51144,5150,45994,16473,1413,15060,24,013,2023
"Cecil County, Maryland",105672,104269,51946,12460,3391,9069,31007,4170,26837,8479,1105,7374,52323,11712,4257,7455,30722,6088,24634,9889,1553,8336,24,015,2023
"Charles County, Maryland",171973,168767,80320,21717,5582,16135,47948,4463,43485,10655,1451,9204,88447,21161,6297,14864,54266,8057,46209,13020,1547,11473,24,017,2023
"Frederick County, Maryland",293391,290555,143768,37103,10334,26769,86230,8237,77993,20435,1885,18550,146787,36121,9281,26840,86279,9544,76735,24387,2500,21887,24,021,2023
"Harford County, Maryland",264644,262179,129116,32520,4808,27712,75519,7381,68138,21077,1861,19216,133063,29180,5951,23229,77771,11097,66674,26112,2615,23497,24,025,2023
"Howard County, Maryland",336001,331396,161523,42613,6270,36343,95193,8035,87158,23717,2068,21649,169873,41677,6248,35429,99488,8001,91487,28708,3468,25240,24,027,2023
"Montgomery County, Maryland",1058474,1048986,509635,129877,35843,94034,297900,36508,261392,81858,8483,73375,539351,121907,30077,91830,315860,42757,273103,101584,13438,88146,24,031,2023
"Prince George's County, Maryland",947430,937038,451748,112083,50189,61894,279121,38996,240125,60544,7460,53084,485290,106356,45718,60638,295282,48792,246490,83652,11904,71748,24,033,2023
"St. Mary's County, Maryland",115281,110768,53678,13642,2802,10840,31774,3822,27952,8262,1003,7259,57090,14159,4091,10068,34436,4877,29559,8495,1170,7325,24,037,2023
"Washington County, Maryland",155813,149401,73346,17520,7143,10377,43370,7965,35405,12456,1187,11269,76055,17502,7804,9698,43212,9768,33444,15341,2250,13091,24,043,2023
"Wicomico County, Maryland",104800,103909,49548,12531,7869,4662,29747,6074,23673,7270,524,6746,54361,12220,7281,4939,32076,8830,23246,10065,1634,8431,24,045,2023
"Baltimore city, Maryland",565239,558706,256091,61502,35241,26261,158185,37370,120815,36404,9536,26868,302615,64422,31856,32566,186310,56818,129492,51883,14378,37505,24,510,2023
"Barnstable County, Massachusetts",231735,228532,110196,17983,5480,12503,57068,10430,46638,35145,3636,31509,118336,15196,4784,10412,60360,12464,47896,42780,4806,37974,25,001,2023
"Berkshire County, Massachusetts",126818,125192,61370,10800,4556,6244,35894,8439,27455,14676,2200,12476,63822,10319,4411,5908,36238,10056,26182,17265,2674,14591,25,003,2023
"Bristol County, Massachusetts",581841,576380,281988,63878,29140,34738,171760,37337,134423,46350,10106,36244,294392,61310,27326,33984,176284,52891,123393,56798,13169,43629,25,005,2023
"Essex County, Massachusetts",810089,804247,390136,90942,35467,55475,232762,52501,180261,66432,10917,55515,414111,87246,34263,52983,242986,60929,182057,83879,16216,67663,25,009,2023
"Franklin County, Massachusetts",70836,70234,34670,6620,2044,4576,19799,4715,15084,8251,1191,7060,35564,5725,2239,3486,20122,5685,14437,9717,1693,8024,25,011,2023
"Hampden County, Massachusetts",460291,456081,222747,52367,26340,26027,132728,38792,93936,37652,7319,30333,233334,47627,27925,19702,139350,49606,89744,46357,11435,34922,25,013,2023
"Hampshire County, Massachusetts",162502,161199,73544,12996,4231,8765,46523,7266,39257,14025,1593,12432,87655,15446,4315,11131,54976,10682,44294,17233,1361,15872,25,015,2023
"Middlesex County, Massachusetts",1623952,1608611,792052,172145,39370,132775,500713,72968,427745,119194,16108,103086,816559,164342,45459,118883,503978,79420,424558,148239,24285,123954,25,017,2023
"Norfolk County, Massachusetts",727473,720201,348466,79404,14146,65258,211864,30119,181745,57198,6668,50530,371735,76703,16093,60610,223379,31665,191714,71653,12337,59316,25,021,2023
"Plymouth County, Massachusetts",535308,528217,255920,57762,17471,40291,151233,30109,121124,46925,7353,39572,272297,56977,19195,37782,156440,34460,121980,58880,9457,49423,25,023,2023
"Suffolk County, Massachusetts",768425,764006,368254,68987,39089,29898,254381,56794,197587,44886,13728,31158,395752,66256,32252,34004,270110,68218,201892,59386,22014,37372,25,025,2023
"Worcester County, Massachusetts",866866,856061,424114,95826,36266,59560,259955,54740,205215,68333,11872,56461,431947,91387,32613,58774,260872,64570,196302,79688,18673,61015,25,027,2023
"Allegan County, Michigan",121939,121228,61110,15211,5018,10193,35325,4446,30879,10574,1248,9326,60118,14065,5434,8631,34091,7036,27055,11962,1390,10572,26,005,2023
"Bay County, Michigan",102500,101922,49575,10173,4346,5827,28905,6452,22453,10497,1511,8986,52347,10880,5399,5481,28935,8492,20443,12532,2456,10076,26,017,2023
"Berrien County, Michigan",152261,151030,72895,16273,6474,9799,41656,7629,34027,14966,1780,13186,78135,17594,7012,10582,42476,10168,32308,18065,2934,15131,26,021,2023
"Calhoun County, Michigan",133366,131748,63553,16106,6974,9132,36589,7086,29503,10858,1297,9561,68195,16294,6347,9947,38291,9822,28469,13610,2776,10834,26,025,2023
"Clinton County, Michigan",79720,78887,39574,9102,1386,7716,23312,2799,20513,7160,277,6883,39313,8473,1624,6849,23113,3028,20085,7727,425,7302,26,037,2023
"Eaton County, Michigan",108820,107792,53455,11653,3660,7993,31706,5487,26219,10096,1302,8794,54337,11845,4310,7535,30370,6782,23588,12122,1535,10587,26,045,2023
"Genesee County, Michigan",401522,398632,193945,48567,23441,25126,110151,30033,80118,35227,5664,29563,204687,44740,23127,21613,118010,38121,79889,41937,5288,36649,26,049,2023
"Grand Traverse County, Michigan",96421,95476,46894,9922,2867,7055,27072,4093,22979,9900,914,8986,48582,9332,3218,6114,27304,4598,22706,11946,1459,10487,26,055,2023
"Ingham County, Michigan",284637,283096,137516,31169,9528,21641,87336,13666,73670,19011,2675,16336,145580,31838,10256,21582,90385,16104,74281,23357,3079,20278,26,065,2023
"Ionia County, Michigan",66262,62354,31413,8227,2893,5334,18266,2550,15716,4920,591,4329,30941,7447,2312,5135,17959,4396,13563,5535,911,4624,26,067,2023
"Jackson County, Michigan",159424,152299,75767,18471,8885,9586,43890,8881,35009,13406,1439,11967,76532,16413,7543,8870,43592,12186,31406,16527,1784,14743,26,075,2023
"Kalamazoo County, Michigan",262215,260483,128143,31355,10697,20658,77859,11461,66398,18929,1890,17039,132340,28515,9997,18518,80495,18706,61789,23330,3654,19676,26,077,2023
"Kent County, Michigan",661354,656045,325361,83139,27235,55904,196659,27108,169551,45563,5171,40392,330684,79468,23322,56146,197619,33711,163908,53597,6686,46911,26,081,2023
"Lapeer County, Michigan",88977,87897,44211,9697,3102,6595,25927,4683,21244,8587,943,7644,43686,9422,3551,5871,24981,5124,19857,9283,1016,8267,26,087,2023
"Lenawee County, Michigan",97520,94960,47365,10439,4271,6168,27308,3968,23340,9618,864,8754,47595,10578,3486,7092,26688,5729,20959,10329,1120,9209,26,091,2023
"Livingston County, Michigan",196757,195566,98372,21399,4221,17178,57688,4298,53390,19285,1785,17500,97194,19943,4437,15506,56079,6328,49751,21172,2453,18719,26,093,2023
"Macomb County, Michigan",875101,868416,423151,96082,37951,58131,255101,46034,209067,71968,9893,62075,445265,91639,33432,58207,263563,61738,201825,90063,12224,77839,26,099,2023
"Marquette County, Michigan",66999,65425,33003,6403,3030,3373,19880,3404,16476,6720,604,6116,32422,6384,1976,4408,19469,4456,15013,6569,670,5899,26,103,2023
"Midland County, Michigan",84039,83150,41343,9550,3594,5956,24093,5179,18914,7700,711,6989,41807,8648,2602,6046,24155,5098,19057,9004,778,8226,26,111,2023
"Monroe County, Michigan",155045,153931,76678,17785,7094,10691,43976,6439,37537,14917,1378,13539,77253,16002,5616,10386,44157,9599,34558,17094,2410,14684,26,115,2023
"Montcalm County, Michigan",68154,65793,34725,8104,3646,4458,20551,4043,16508,6070,698,5372,31068,7068,3250,3818,17523,4200,13323,6477,961,5516,26,117,2023
"Muskegon County, Michigan",176564,172217,84480,20932,9711,11221,48444,11071,37373,15104,1556,13548,87737,20060,10817,9243,50628,16825,33803,17049,2014,15035,26,121,2023
"Oakland County, Michigan",1270426,1263275,623867,136514,30824,105690,380436,46752,333684,106917,11326,95591,639408,131788,31717,100071,376472,54869,321603,131148,17468,113680,26,125,2023
"Ottawa County, Michigan",303372,301543,149195,38434,10503,27931,87233,7850,79383,23528,1443,22085,152348,36928,9095,27833,87910,11301,76609,27510,2296,25214,26,139,2023
"Saginaw County, Michigan",187782,184717,88012,20997,9805,11192,49674,11680,37994,17341,1925,15416,96705,21395,11626,9769,54068,17066,37002,21242,2964,18278,26,145,2023
"St. Clair County, Michigan",159874,158751,78810,16285,5339,10946,46676,7810,38866,15849,2110,13739,79941,16981,7456,9525,45510,10320,35190,17450,2412,15038,26,147,2023
"Shiawassee County, Michigan",68025,67559,33292,7367,2337,5030,19932,3878,16054,5993,435,5558,34267,7120,2871,4249,19582,5902,13680,7565,704,6861,26,155,2023
"Van Buren County, Michigan",75798,75404,37459,9339,3730,5609,20644,3766,16878,7476,749,6727,37945,8821,3588,5233,20779,5001,15778,8345,1157,7188,26,159,2023
"Washtenaw County, Michigan",365536,360265,179675,38137,7950,30187,115088,15017,100071,26450,1761,24689,180590,38092,9859,28233,110468,16615,93853,32030,3078,28952,26,161,2023
"Wayne County, Michigan",1751169,1741555,841584,221136,123931,97205,492069,140728,351341,128379,24120,104259,899971,211342,112500,98842,522804,182980,339824,165825,35014,130811,26,163,2023
"Anoka County, Minnesota",372441,369852,183715,45849,15393,30456,110384,14950,95434,27482,1306,26176,186137,46660,18017,28643,108188,21969,86219,31289,2844,28445,27,003,2023
"Blue Earth County, Minnesota",70006,69420,34768,7564,1676,5888,22216,2332,19884,4988,368,4620,34652,8269,1360,6909,20805,2369,18436,5578,538,5040,27,013,2023
"Carver County, Minnesota",111057,110642,55618,15343,2431,12912,32208,2152,30056,8067,223,7844,55024,14153,1971,12182,32346,2980,29366,8525,349,8176,27,019,2023
"Clay County, Minnesota",66258,65652,32362,8226,2074,6152,19549,3118,16431,4587,453,4134,33290,8991,3453,5538,19168,3666,15502,5131,708,4423,27,027,2023
"Crow Wing County, Minnesota",68304,67462,33659,6985,2566,4419,18894,2980,15914,7780,819,6961,33803,7041,2538,4503,18019,3663,14356,8743,656,8087,27,035,2023
"Dakota County, Minnesota",447440,445443,219863,55949,13840,42109,131888,15565,116323,32026,1496,30530,225580,54299,14067,40232,131395,17908,113487,39886,3861,36025,27,037,2023
"Hennepin County, Minnesota",1258713,1248534,620395,145665,44462,101203,384873,48091,336782,89857,8637,81220,628139,140550,40606,99944,379897,59479,320418,107692,11179,96513,27,053,2023
"Olmsted County, Minnesota",164784,162861,78784,20589,4682,15907,45584,5633,39951,12611,652,11959,84077,19753,3345,16408,49279,5608,43671,15045,923,14122,27,109,2023
"Ramsey County, Minnesota",536075,531147,261223,65088,28656,36432,158201,27960,130241,37934,4735,33199,269924,63807,29124,34683,159970,35512,124458,46147,6489,39658,27,123,2023
"Rice County, Minnesota",67948,65324,32086,8699,2300,6399,18364,1849,16515,5023,257,4766,33238,8466,1788,6678,18811,4359,14452,5961,601,5360,27,131,2023
"St. Louis County, Minnesota",200514,198101,99470,20553,8524,12029,58768,9768,49000,20149,1576,18573,98631,19741,7344,12397,56489,11948,44541,22401,2205,20196,27,137,2023
"Scott County, Minnesota",155814,154621,77535,20880,4071,16809,47250,4949,42301,9405,550,8855,77086,20569,3735,16834,45900,5358,40542,10617,1027,9590,27,139,2023
"Sherburne County, Minnesota",102206,100194,50595,14380,3215,11165,30123,2908,27215,6092,593,5499,49599,13586,3331,10255,29379,3631,25748,6634,621,6013,27,141,2023
"Stearns County, Minnesota",160977,160052,81882,21023,9164,11859,48492,7945,40547,12367,1061,11306,78170,20137,6222,13915,44792,7956,36836,13241,1039,12202,27,145,2023
"Washington County, Minnesota",278936,276463,137401,36056,6460,29596,79333,7042,72291,22012,807,21205,139062,33197,5917,27280,80456,11151,69305,25409,2068,23341,27,163,2023
"Wright County, Minnesota",151150,150075,76271,22316,6253,16063,44172,4366,39806,9783,616,9167,73804,20241,3970,16271,42887,6271,36616,10676,605,10071,27,171,2023
"DeSoto County, Mississippi",193247,192166,91705,24420,6697,17723,55549,3308,52241,11736,1652,10084,100461,25498,4972,20526,60755,5523,55232,14208,1735,12473,28,033,2023
"Forrest County, Mississippi",78208,77309,35055,8827,4545,4282,21671,2137,19534,4557,657,3900,42254,10366,3819,6547,25916,4674,21242,5972,2174,3798,28,035,2023
"Harrison County, Mississippi",210612,203108,95798,24983,10980,14003,55015,6160,48855,15800,2298,13502,107310,26323,12155,14168,61596,10900,50696,19391,2551,16840,28,047,2023
"Hinds County, Mississippi",214870,212705,99131,26535,14809,11726,57800,7023,50777,14796,2972,11824,113574,26412,15784,10628,66846,9026,57820,20316,5579,14737,28,049,2023
"Jackson County, Mississippi",146389,144007,69524,17821,5905,11916,40049,3850,36199,11654,2032,9622,74483,17038,7554,9484,43910,5641,38269,13535,1777,11758,28,059,2023
"Jones County, Mississippi",66250,65435,30659,7798,3671,4127,17445,1692,15753,5416,1123,4293,34776,8776,3013,5763,19572,3238,16334,6428,1257,5171,28,067,2023
